accy,accz,accx
-0.0014285714285714,-0.0135714285714285,1.0535714285714286
-0.0072727272727272,-0.0172727272727272,1.0527272727272727
-0.0,-0.01,1.0492857142857142
-0.0027272727272727,-0.0072727272727272,1.0572727272727271
-0.005,-0.005,1.045
-0.0054545454545454,-0.01,1.0427272727272727
-0.0038461538461538,-0.0069230769230769,1.0469230769230768
-0.0081818181818181,-0.0181818181818181,1.0581818181818181
-0.0013333333333333,-0.0033333333333333,1.05
-0.0072727272727272,-0.01,1.0527272727272727
-0.0076923076923076,-0.0107692307692307,1.0523076923076924
-0.0,-0.015,1.0425
-0.0,-0.0,1.046153846153846
-0.003076923076923,-0.003076923076923,1.0469230769230768
-0.0016666666666666,-0.01,1.0499999999999998
-0.01,-0.01,1.0574999999999999
-0.01,-0.0053846153846153,1.046153846153846
-0.01,-0.0,1.05
-0.0093333333333333,-0.0073333333333333,1.0493333333333332
-0.0,-0.01,1.04
-0.0035714285714285,-0.0014285714285714,1.0471428571428572
-0.0,-0.0,1.04
0.0038461538461538,-0.0084615384615384,1.0438461538461539
-0.0,-0.01,1.045
-0.0071428571428571,-0.0028571428571428,1.0585714285714285
-0.0033333333333333,-0.01,1.0466666666666666
-0.005,-0.0008333333333333,1.0491666666666666
-0.001,-0.0,1.05
-0.0133333333333333,-0.0073333333333333,1.0493333333333332
-0.01,-0.01,1.0425
-0.0061538461538461,-0.0138461538461538,1.043076923076923
-0.0124999999999999,-0.01,1.055
-0.0115384615384615,-0.01,1.0484615384615383
-0.01,-0.01,1.0475
-0.0016666666666666,-0.0016666666666666,1.0441666666666667
-0.0076923076923076,-0.0023076923076923,1.0476923076923077
-0.0,-0.0058333333333333,1.04
-0.0009090909090909,-0.0,1.0509090909090908
-0.006,-0.0073333333333333,1.056
-0.005,-0.0075,1.0475
-0.0,-0.0038461538461538,1.0484615384615383
-0.01,-0.0025,1.0475
0.001,-0.01,1.037
-0.0093333333333333,-0.0033333333333333,1.0453333333333332
-0.0069230769230769,-0.01,1.0407692307692307
0.0025,-0.01,1.045
-0.0018181818181818,-0.0063636363636363,1.0418181818181818
-0.01,-0.0083333333333333,1.0583333333333333
-0.0138461538461538,-0.0069230769230769,1.043076923076923
-0.0028571428571428,-0.01,1.04
-0.0061538461538461,-0.0061538461538461,1.04
-0.01,-0.0033333333333333,1.04
-0.007,-0.008,1.045
-0.0,-0.01,1.0486666666666666
-0.0,-0.01,1.0453846153846154
-0.0,-0.01,1.04
0.0036363636363636,-0.01,1.04
-0.0014285714285714,-0.01,1.042142857142857
-0.0063636363636363,-0.01,1.0418181818181818
-0.0,-0.0028571428571428,1.0471428571428572
-0.0081818181818181,-0.0018181818181818,1.0445454545454544
-0.01,-0.0071428571428571,1.0492857142857142
-0.01,-0.0045454545454545,1.0454545454545454
-0.01,-0.0071428571428571,1.0428571428571427
-0.0016666666666666,-0.0083333333333333,1.0375
-0.01,-0.01,1.0476923076923077
-0.0063636363636363,-0.01,1.04
-0.0076923076923076,-0.0007692307692307,1.0492307692307692
-0.0,-0.0033333333333333,1.05
-0.003076923076923,-0.01,1.0484615384615383
-0.013,-0.003,1.04
-0.0153333333333333,-0.0013333333333333,1.0466666666666666
-0.009090909090909,-0.0072727272727272,1.04
-0.0086666666666666,-0.0,1.04
-0.0136363636363636,-0.0118181818181818,1.0354545454545454
-0.0057142857142857,-0.0128571428571428,1.042142857142857
-0.0118181818181818,-0.0118181818181818,1.0418181818181818
-0.01,-0.001,1.04
-0.0073333333333333,-0.0086666666666666,1.0433333333333332
-0.0,-0.0178571428571428,1.0471428571428572
-0.0045454545454545,-0.0063636363636363,1.0445454545454544
-0.0092307692307692,-0.0015384615384615,1.0476923076923077
-0.01,-0.01,1.04
-0.0023076923076923,-0.01,1.0476923076923077
-0.0066666666666666,-0.01,1.0441666666666667
-0.0071428571428571,-0.0007142857142857,1.042142857142857
-0.0036363636363636,-0.0036363636363636,1.0463636363636364
-0.0007692307692307,-0.01,1.04
-0.0041666666666666,-0.01,1.0433333333333332
-0.0092307692307692,-0.0023076923076923,1.0346153846153845
-0.0066666666666666,-0.0066666666666666,1.0416666666666665
-0.0076923076923076,-0.0107692307692307,1.0346153846153845
-0.0033333333333333,-0.005,1.0425
-0.01,-0.0,1.0384615384615383
-0.005,-0.005,1.0339999999999998
-0.0086666666666666,-0.0,1.042
-0.0083333333333333,-0.0083333333333333,1.0408333333333333
-0.0015384615384615,-0.0092307692307692,1.0392307692307692
-0.0141666666666666,-0.0058333333333333,1.0358333333333334
-0.01,-0.01,1.0307692307692307
-0.0066666666666666,-0.0058333333333333,1.0375
0.0076923076923076,-0.0023076923076923,1.04
-0.0041666666666666,-0.0133333333333333,1.0366666666666666
-0.0092307692307692,-0.0092307692307692,1.0392307692307692
-0.01,-0.0,1.0466666666666666
-0.0069230769230769,-0.0092307692307692,1.0507692307692307
-0.0058333333333333,-0.01,1.0466666666666666
-0.0092307692307692,-0.0084615384615384,1.04
-0.0066666666666666,-0.0041666666666666,1.04
-0.0169230769230769,-0.0015384615384615,1.046153846153846
-0.01,-0.01,1.037
-0.0164285714285714,-0.01,1.0328571428571427
-0.0045454545454545,-0.0036363636363636,1.0418181818181818
-0.0,-0.0133333333333333,1.0486666666666666
-0.0033333333333333,-0.0,1.0475
-0.0176923076923076,-0.003076923076923,1.0484615384615383
-0.0072727272727272,-0.01,1.0472727272727271
-0.0071428571428571,-0.0157142857142857,1.05
-0.0033333333333333,-0.0175,1.0466666666666666
-0.0023076923076923,-0.0092307692307692,1.0415384615384615
-0.0058333333333333,-0.0075,1.0391666666666666
-0.0023076923076923,-0.0084615384615384,1.0392307692307692
-0.01,-0.0075,1.04
-0.01,-0.0023076923076923,1.0492307692307692
-0.0033333333333333,-0.0066666666666666,1.0425
-0.01,-0.0076923076923076,1.0415384615384615
-0.0083333333333333,-0.0108333333333333,1.0466666666666666
-0.0084615384615384,-0.003076923076923,1.0384615384615383
-0.0033333333333333,-0.0141666666666666,1.0408333333333333
-0.0007692307692307,-0.01,1.0484615384615383
-0.0075,-0.01,1.0433333333333332
-0.01,-0.01,1.0491666666666666
-0.0058333333333333,-0.0033333333333333,1.04
-0.01,-0.0014285714285714,1.0471428571428572
-0.003,-0.01,1.042
-0.0,-0.01,1.0473333333333332
-0.0,-0.01,1.0372727272727271
-0.0084615384615384,-0.0092307692307692,1.056153846153846
-0.0075,-0.0025,1.0475
-0.0076923076923076,-0.0015384615384615,1.04
-0.0041666666666666,-0.0066666666666666,1.0491666666666666
-0.0076923076923076,-0.0084615384615384,1.0438461538461539
-0.0041666666666666,-0.0008333333333333,1.0475
-0.0007692307692307,-0.0076923076923076,1.0484615384615383
-0.0138461538461538,-0.0069230769230769,1.05
-0.0007692307692307,-0.0084615384615384,1.0515384615384615
-0.0,-0.0072727272727272,1.0454545454545454
-0.0084615384615384,-0.0092307692307692,1.04
-0.0083333333333333,-0.0025,1.0425
-0.0115384615384615,-0.01,1.05
-0.01,-0.0081818181818181,1.048181818181818
-0.0092857142857142,-0.0,1.0478571428571428
-0.011,-0.011,1.049
-0.01,-0.0093333333333333,1.0466666666666666
-0.01,-0.0066666666666666,1.04
-0.01,-0.01,1.0476923076923077
-0.01,-0.01,1.0425
-0.0092307692307692,-0.0023076923076923,1.043076923076923
-0.0081818181818181,-0.0072727272727272,1.0536363636363637
-0.0124999999999999,-0.005,1.0425
-0.0066666666666666,-0.006,1.0493333333333332
-0.0008333333333333,-0.01,1.05
-0.005,-0.015,1.044
-0.008,-0.0033333333333333,1.0406666666666666
-0.0133333333333333,-0.01,1.05
-0.0023076923076923,-0.01,1.0492307692307692
-0.0075,-0.01,1.0508333333333333
-0.0,-0.0023076923076923,1.0423076923076924
-0.0,-0.0016666666666666,1.05
-0.0084615384615384,-0.01,1.0423076923076924
-0.01,-0.0058333333333333,1.0475
-0.0092307692307692,-0.01,1.0476923076923077
-0.005,-0.011,1.046
-0.0,-0.013076923076923,1.05
-0.0076923076923076,-0.0061538461538461,1.046153846153846
-0.0164285714285714,-0.0028571428571428,1.05
-0.0,-0.0058333333333333,1.0475
-0.0069230769230769,-0.0015384615384615,1.0484615384615383
-0.0033333333333333,-0.0091666666666666,1.0475
-0.0015384615384615,-0.0115384615384615,1.0484615384615383
-0.0,-0.0124999999999999,1.0475
-0.0084615384615384,-0.0023076923076923,1.0423076923076924
-0.0054545454545454,-0.0036363636363636,1.05
-0.0014285714285714,-0.0007142857142857,1.042142857142857
0.0033333333333333,-0.01,1.045
-0.0084615384615384,-0.01,1.0507692307692307
-0.0083333333333333,-0.01,1.045
-0.004,-0.01,1.044
-0.0,-0.008,1.0486666666666666
-0.0084615384615384,-0.0084615384615384,1.0423076923076924
-0.0072727272727272,-0.01,1.048181818181818
-0.0121428571428571,-0.0028571428571428,1.055
-0.014,-0.009,1.05
-0.0,-0.0,1.05
-0.0076923076923076,-0.0061538461538461,1.056153846153846
-0.0161538461538461,-0.01,1.0438461538461539
0.0008333333333333,-0.0058333333333333,1.0525
-0.0,-0.002,1.06
-0.005,-0.0071428571428571,1.0514285714285714
-0.0164285714285714,-0.0,1.0428571428571427
-0.0,-0.0133333333333333,1.0525
-0.0,-0.0054545454545454,1.0527272727272727
-0.0091666666666666,-0.005,1.0458333333333334
-0.01,-0.0028571428571428,1.05
-0.0023076923076923,-0.0061538461538461,1.046153846153846
0.0069230769230769,-0.0107692307692307,1.0584615384615383
0.0018181818181818,-0.0136363636363636,1.0599999999999998
-0.0027272727272727,-0.0027272727272727,1.0454545454545454
-0.011,-0.0,1.053
-0.0170588235294117,-0.0088235294117647,1.05
-0.0076923076923076,-0.0061538461538461,1.05
-0.0081818181818181,-0.01,1.05
0.0025,-0.005,1.055
-0.0226666666666666,-0.0073333333333333,1.0593333333333332
-0.0,-0.01,1.0518181818181818
0.0071428571428571,-0.0021428571428571,1.052142857142857
-0.0025,-0.0025,1.0475
-0.01,-0.01,1.048
-0.0046666666666666,-0.0046666666666666,1.05
-0.0,-0.0083333333333333,1.05
-0.0138461538461538,-0.01,1.056153846153846
-0.0018181818181818,-0.01,1.0518181818181818
-0.0041666666666666,-0.005,1.0541666666666667
-0.0063636363636363,-0.0063636363636363,1.05
-0.00375,-0.00875,1.05125
-0.01,-0.0118181818181818,1.0563636363636364
-0.0007142857142857,-0.0078571428571428,1.0507142857142857
-0.0,-0.0,1.05
-0.005,-0.0014285714285714,1.05
-0.0023076923076923,-0.0023076923076923,1.05
-0.01,-0.0075,1.0416666666666665
-0.0025,-0.0124999999999999,1.0574999999999999
-0.0008333333333333,-0.01,1.055
-0.01,-0.01,1.056
-0.0025,-0.014375,1.05875
-0.0075,-0.0124999999999999,1.05
-0.0084615384615384,-0.0023076923076923,1.05
-0.0072727272727272,-0.01,1.05
-0.005,-0.0028571428571428,1.0535714285714286
-0.0,-0.0175,1.05
-0.0038461538461538,0.0007692307692307,1.0576923076923075
-0.0,-0.01,1.0425
-0.0,-0.01,1.048
0.0026666666666666,-0.004,1.0506666666666666
-0.003076923076923,-0.0092307692307692,1.046153846153846
-0.0,-0.01,1.0425
-0.0053846153846153,-0.0061538461538461,1.0546153846153845
-0.01,-0.01,1.0454545454545454
-0.01,-0.0064285714285714,1.05
-0.01,-0.01,1.0525
-0.01,-0.0023076923076923,1.0553846153846154
-0.01,-0.0025,1.0525
-0.01,-0.009,1.05
-0.004,-0.01,1.0466666666666666
-0.0053846153846153,-0.01,1.0515384615384615
-0.017,-0.01,1.046
-0.0073333333333333,-0.01,1.0546666666666666
-0.0,-0.01,1.057
-0.009090909090909,-0.0145454545454545,1.0572727272727271
-0.003125,-0.004375,1.046875
-0.0092307692307692,-0.0092307692307692,1.0553846153846154
-0.01,-0.0025,1.0525
-0.005,-0.005,1.054
-0.0064285714285714,-0.0057142857142857,1.0564285714285715
-0.0064285714285714,-0.0014285714285714,1.0478571428571428
-0.0025,-0.0075,1.05
-0.0015384615384615,-0.0046153846153846,1.0538461538461539
-0.01,-0.007,1.05
-0.0054545454545454,-0.0054545454545454,1.05
-0.00125,-0.00125,1.05
-0.0069230769230769,-0.013076923076923,1.0538461538461539
-0.005,-0.0025,1.0574999999999999
-0.009,-0.005,1.055
-0.0006666666666666,-0.0,1.054
-0.0092307692307692,-0.0015384615384615,1.0476923076923077
-0.01,-0.0033333333333333,1.0533333333333332
-0.0084615384615384,-0.0053846153846153,1.05
-0.0,-0.017,1.057
-0.002,-0.011,1.053
-0.0129411764705882,-0.0052941176470588,1.05
-0.0084615384615384,-0.0061538461538461,1.05
-0.0,-0.01,1.05
-0.005,-0.001,1.055
-0.014,-0.0,1.046
-0.0072222222222222,-0.0,1.0455555555555556
-0.0025,-0.0075,1.055
-0.0091666666666666,-0.0058333333333333,1.0508333333333333
-0.01,-0.01,1.0433333333333332
-0.01,-0.01,1.045
-0.01,-0.0183333333333333,1.05
-0.01,-0.0107692307692307,1.0515384615384615
-0.01,-0.0027272727272727,1.0527272727272727
-0.007,-0.0,1.045
-0.0033333333333333,-0.0033333333333333,1.0553333333333332
-0.0035714285714285,-0.0121428571428571,1.055
-0.0,-0.0025,1.0425
-0.0083333333333333,-0.0041666666666666,1.0491666666666666
-0.0,-0.006,1.05
-0.0063636363636363,-0.01,1.0454545454545454
-0.015,-0.001875,1.045
-0.0038461538461538,-0.0038461538461538,1.0446153846153845
-0.01,-0.0133333333333333,1.05
-0.0146153846153846,-0.003076923076923,1.05
-0.0066666666666666,-0.0,1.05
-0.0038461538461538,-0.0076923076923076,1.0507692307692307
-0.0091666666666666,-0.0066666666666666,1.0533333333333332
-0.0146153846153846,-0.0053846153846153,1.0492307692307692
-0.012,-0.0,1.04
-0.009090909090909,-0.0018181818181818,1.0436363636363637
-0.01,-0.01,1.051875
-0.01,-0.01,1.0376923076923077
-0.01,-0.01,1.04
-0.002,-0.005,1.051
-0.0,-0.0054545454545454,1.048181818181818
-0.0,-0.01,1.049375
